[14, 10], [1, 1, 1], [0, 0, 1, 1]
[14, 10], [0, 0, 0], [1, 1, 0, 0]
[30, 26], [1, 1, 1, 1], [0, 0, 0, 1, 1]
[30, 18], [1, 1, 1, 1], [0, 0, 1, 1, 1]
[28, 20], [0, 0, 0, 0], [0, 1, 0, 0, 0]
[30, 26], [1, 1, 1, 1], [0, 1, 0, 1, 1]
[30, 26], [0, 0, 0, 0], [1, 0, 1, 0, 0]
[28, 20], [1, 1, 1, 1], [1, 0, 1, 1, 1]
[30, 18], [0, 0, 0, 0], [1, 1, 0, 0, 0]
[30, 26], [0, 0, 0, 0], [1, 1, 1, 0, 0]
[62, 58], [1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1]
[62, 50], [1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1]
[62, 58], [1, 1, 1, 1, 1], [0, 0, 1, 0, 1, 1]
[62, 34], [1, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1]
[60, 36], [0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0]
[62, 58], [1, 1, 1, 1, 1], [0, 1, 0, 0, 1, 1]
[62, 50], [1, 1, 1, 1, 1], [0, 1, 0, 1, 1, 1]
[60, 52], [0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0]
[60, 52], [1, 1, 1, 1, 1], [1, 0, 0, 1, 1, 1]
[62, 50], [0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0]
[62, 58], [0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0]
[60, 36], [1, 1, 1, 1, 1], [1, 0, 1, 1, 1, 1]
[62, 34], [0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0]
[62, 58], [0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0]
[62, 50], [0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0]
[62, 58], [0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]
