2, [. 0. ]
2, [. 1. ]
6, [. 0. ,.  . 0. ]
4, [. 0. ,.  . 1. ]
4, [. 1. ,.  . 0. ]
6, [. 1. ,.  . 1. ]
14, [. 0. ,.  . 0. ,.  . 0. ]
8, [. 0. ,.  . 0. ,.  . 1. ]
10, [. 0. ,.  . 1. ,.  . 0. ]
8, [. 0. ,.  . 1. ,.  . 1. ]
8, [. 1. ,.  . 0. ,.  . 0. ]
10, [. 1. ,.  . 0. ,.  . 1. ]
8, [. 1. ,.  . 1. ,.  . 0. ]
14, [. 1. ,.  . 1. ,.  . 1. ]
30, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
16, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
18, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
16, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
18, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
20, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
18, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
16, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
16, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
18, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
20, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
18, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
16, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
18, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
16, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
30, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
62, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
32, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
34, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
32, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
38, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
32, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
34, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
32, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
34, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
36, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
42, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
32, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
34, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
36, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
34, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
32, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
32, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
34, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
36, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
34, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
32, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
42, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
36, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
34, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
32, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
34, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
32, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
38, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
32, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
34, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
32, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
62, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
126, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
70, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
70, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
72, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
70, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
68, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
74, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
84, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
68, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
72, [. 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
68, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
66, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
64, [. 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
68, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
72, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
68, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
84, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
74, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
68, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
66, [. 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 0. ]
70, [. 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ,.  . 1. ]
72, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 0. ]
70, [. 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 0. ]
70, [. 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 0. ]
66, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ,.  . 1. ]
64, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 0. ]
126, [. 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ,.  . 1. ]
